time,temperature,vol1,vol2
9.300,299.4,0.849,-0.468
9.350,299.3,0.849,-0.468
9.400,299.4,0.849,-0.468
9.450,299.3,0.849,-0.468
9.500,299.4,0.849,-0.468
9.550,299.4,0.849,-0.468
9.600,299.4,0.849,-0.468
9.650,299.3,0.849,-0.468
9.700,299.4,0.849,-0.464
9.750,299.3,0.849,-0.464
9.800,299.4,0.849,-0.464
9.850,299.3,0.849,-0.468
9.900,299.4,0.849,-0.468
9.950,299.4,0.849,-0.464
10.000,299.4,0.844,-0.464
10.050,299.3,0.849,-0.468
10.100,299.4,0.849,-0.468
10.150,299.3,0.844,-0.468
10.200,299.4,0.849,-0.468
10.250,299.3,0.849,-0.468
10.300,299.4,0.849,-0.468
10.350,299.3,0.849,-0.468
10.400,299.4,0.849,-0.468
10.450,299.3,0.849,-0.468
10.500,299.4,0.849,-0.468
10.550,299.3,0.849,-0.468
10.600,299.4,0.849,-0.468
10.650,299.3,0.854,-0.468
10.700,299.4,0.849,-0.468
10.750,299.3,0.849,-0.468
10.800,299.4,0.849,-0.464
10.850,299.3,0.849,-0.468
10.900,299.4,0.849,-0.468
10.950,299.3,0.849,-0.464
11.000,299.4,0.849,-0.468
11.050,299.3,0.849,-0.468
11.100,299.4,0.849,-0.468
11.150,299.3,0.849,-0.468
11.200,299.4,0.849,-0.468
11.250,299.3,0.849,-0.468
11.300,299.4,0.849,-0.468
11.350,299.3,0.849,-0.468
11.400,299.4,0.849,-0.468
11.450,299.3,0.849,-0.468
11.500,299.4,0.849,-0.468
11.550,299.3,0.844,-0.468
11.600,299.4,0.844,-0.468
11.650,299.3,0.844,-0.468
11.700,299.4,0.849,-0.468
11.750,299.4,0.849,-0.468
11.800,299.4,0.849,-0.468
11.850,299.3,0.844,-0.468
11.900,299.4,0.849,-0.468
11.950,299.3,0.849,-0.468
12.000,299.4,0.849,-0.468
12.050,299.3,0.849,-0.468
12.100,299.4,0.849,-0.468
12.150,299.3,0.849,-0.468
12.200,299.4,0.849,-0.468
12.250,299.3,0.849,-0.468
12.300,299.4,0.844,-0.468
12.350,299.4,0.849,-0.468
12.400,299.4,0.849,-0.468
12.450,299.3,0.849,-0.468
12.500,299.4,0.849,-0.468
12.550,299.4,0.849,-0.468
12.600,299.4,0.844,-0.468
12.650,299.4,0.844,-0.464
12.700,299.4,0.844,-0.468
12.750,299.3,0.849,-0.468
12.800,299.4,0.849,-0.468
12.850,299.3,0.849,-0.468
12.900,299.4,0.849,-0.468
12.950,299.3,0.849,-0.468
13.000,299.4,0.849,-0.468
13.050,299.4,0.849,-0.468
13.100,299.4,0.849,-0.468
13.150,299.4,0.849,-0.468
13.200,299.4,0.849,-0.468
13.250,299.4,0.849,-0.468
